id,text,top_tone,tones,violence_score
178,European countries are divided over their approach to the conflict and talks on Friday did not yield results.,Criticism,"Criticism, Passive-Aggressive, Sarcastic",0.611
179,"The bill gives terminally ill patients the right to end their lives, but the details have yet to be confirmed.",Passive-Aggressive,Passive-Aggressive,0.513
180,"US president doubles down on claim Iran is building nuclear weapon, again contradicting US intelligence community.",Criticism,"Criticism, Offensive, Passive-Aggressive, Sarcastic",0.807
181,"Iran and Israel clashed at the UN. Tehran vowed self-defence, Israel pledged strikes until Iran’s “nuclear threat” ends.",Offensive,"Offensive, Criticism",0.985
182,"Trump deployed the troops in response to protests in the city, despite objections from city officials and California's governor.",Criticism,"Criticism, Offensive, Passive-Aggressive",0.873
183,"Some said they had seen the sites of Israeli bombardment, others said they had heard the sound of explosions.",Criticism,Criticism,0.984
184,"Fake AI videos relating to the conflict have gained over 100 million views online, BBC Verify finds.",Criticism,,0.753
185,Video shows communities in the affected areas dealing with flood waters and a messy clean-up.,Criticism,,0.526
186,The twin-peaked Lewotobi Laki-Laki volcano erupted on Tuesday creating a vast plume.,Criticism,Criticism,0.991
187,Israel said it had killed a senior commander of the force that oversees Iran’s proxy militias in the Middle East. A European diplomatic effort to stop the fighting ended without a breakthrough.,Offensive,"Offensive, Criticism",0.984
188,Ukraine’s security service is holding classes at high schools to alert teenagers of Russian efforts to recruit them.,Passive-Aggressive,Passive-Aggressive,0.544
189,"British lawmakers on Friday confirmed their support for assisted suicide for some terminally ill people, after months of scrutiny that followed an initial vote last year.",Criticism,"Criticism, Passive-Aggressive",0.579
190,"Mohammed Said Izadi was one of the few people who knew in advance about Hamas’s plan to launch a surprise attack on Israel, The New York Times has reported.",Criticism,"Criticism, Offensive, Passive-Aggressive",0.985
191,,,,0.0
192,Fertility decline is a devilish problem. What if the only solution is to treat parenting as a public service worth paying for?,Sarcastic,Sarcastic,0.747
193,"As Israel-Iran tensions rise, President Trump considers a military response while experts debate who should secure Iranian nuclear material if a deal is reached.",Criticism,Criticism,0.86
194,Freed hostage Edan Alexander returns to New Jersey after release from Hamas captivity where he was greeted by emotional crowds and a community that never stopped praying.,Passive-Aggressive,,0.571
195,"Iran's resumé against America since the 1979 revolution includes taking hostages, playing a role in the Beirut embassy bombings, funding Taliban and Iraqi proxies and assassination attempts.",Offensive,"Offensive, Criticism",0.998
196,"Retired army officer Roberto Samcam was killed in San José by gunmen, the latest of several attacks on Ortega’s critics A retired Nicaraguan army officer in exile turned fierce critic of the country’s authoritarian president Daniel Ortega has been shot dead in neighboring Costa Rica . Maj Roberto Samcam, 66, was shot at his apartment building in San José on Thursday, reportedly by men pretending to deliver a package. Continue reading...",Criticism,"Criticism, Passive-Aggressive, Sarcastic, Offensive",0.997
197,"Tropical Storm Dalila brings flooding to Acapulco, while Hurricane Erick causes disruption in Oaxaca state While the western Atlantic has experienced a quiet start to the hurricane season, the eastern Pacific has recently become fairly active, producing a tropical storm and a category 4 hurricane within a few days. The first and weaker of these systems, Tropical Storm Dalila, developed into a tropical storm late last week. Although this storm stayed off the coast of Mexico and was relatively weak to other storms that have developed in this region, Dalila brought flooding and mudslides to the resort town of Acapulco, in western Mexico. Continue reading...",Criticism,"Criticism, Passive-Aggressive, Sarcastic",0.951
198,Exploration of Bahamas seabed will be first time notorious New Providence hideout has been searched Pirates of the Caribbean is a $4.5bn swashbuckling film franchise and Blackbeard and Calico Jack Rackham are among marauding buccaneers who have captured imaginations over the centuries. But almost nothing is known about the life and times of actual pirates. Continue reading...,Passive-Aggressive,Passive-Aggressive,0.945
199,"The border dispute has led to a surge in nationalist sentiment and tit-for-tat actions by both governments Cambodia has banned imports of fruit and vegetables from Thailand, the latest escalation in a series of retaliatory actions sparked by a long-running border dispute between the South-east Asian neighbours. Tensions flared in May when troops briefly exchanged fire at a contested area of the border, killing a Cambodian soldier. Continue reading...",Criticism,"Criticism, Passive-Aggressive, Offensive",0.952
200,"A viral video of a barbershop blow-up prompts tales of shear panic. Tell us about your worst haircut experience in the comments A tradie went viral this week after blowing up at a barber who he claimed left him with a lopsided buzz cut. The tradesman insisted on paying for the allegedly substandard haircut before storming out. The exchange has sparked a conversation online, with some saying they would never be brave enough to complain and others recounting their worst haircut experiences. Continue reading...",Criticism,"Criticism, Sarcastic, Passive-Aggressive",0.926
201,"Scheme could lose credibility with consumers thanks to ‘weak’ minimum standards and risk of corruption and non-compliance, report warns Get our breaking news email , free app or daily news podcast Australian households and businesses are missing out on billions of dollars of power bill savings, an expert has warned, after a scathing audit found the department in charge of the efficiency scheme for appliances has failed to properly administer it. The poor administration of the program has left consumers worse off, said Alan Pears, a senior fellow at RMIT and Melbourne University who helped develop appliance energy standards in Victoria. Sign up for Guardian Australia’s breaking news email Continue reading...",Criticism,"Criticism, Passive-Aggressive, Sarcastic, Neutral",0.663
202,"Residents of a Portuguese rural idyll where four vast mines are planned are among those who feel they will pay too high a cost for the energy transition Filipe Gomes had been craving fresh air and quiet routine when he and his partner quit the chaos of London’s catering industry for the fog-misted hills of Covas do Barroso, the sleepy Portuguese farming village in which he was raised. But his rural idyll has been disturbed by miners drilling boreholes as they push to dig four vast lithium mines right beside the village. The prospecting has sparked resistance from residents who fear the mines will foul the soil, drain the water and fill the air with the rumbling thunder of heavy trucks. Continue reading...",Criticism,"Criticism, Passive-Aggressive, Sarcastic",0.72
203,"Adult websites back online after court suspended decision requiring platforms based in the EU to verify users’ ages Major adult websites Pornhub, YouPorn and RedTube were back online in France Friday after a court suspended a decision requiring pornographic platforms based in the European Union to verify users’ ages . The three platforms’ owner, Aylo, based in Cyprus, had made its websites unavailable in France in early June as a protest against the French decree. Failure to comply could have lead to sanctions including fines or the blocking of the websites. Continue reading...",Passive-Aggressive,"Passive-Aggressive, Criticism, Offensive",0.659
204,"American involvement is not guaranteed to secure Israel’s objectives – and may lead to unintended consequences Middle East crisis live: latest news updates Israel’s assault on Iran, including its nuclear and ballistic weapons programme, is unlikely to secure its long-term strategic objectives, even if Benjamin Netanyahu manages to persuade the Trump administration into joining the conflict in the coming days and weeks, experts have said. According to diplomats, military specialists and security analysts, Israel – and its prime minister – is likely to face mounting headwinds in the campaign, amid warnings that it risks dangerously destabilising the region. Continue reading...",Criticism,"Criticism, Passive-Aggressive, Offensive, Sarcastic",0.86
205,"Voice of America is the largest US government-funded international broadcaster and hundreds of employees have been laid off in a fresh round of firings. A top Democrat called it a ""dark day for the truth.""",Criticism,"Criticism, Passive-Aggressive",0.814
206,"Civic society organizations fear the consequences of an agreement that overlooks justice for crimes committed by armed groups, as the Democratic Republic of Congo and Rwanda prepare to sign a peace agreement on June 27.",Criticism,"Criticism, Passive-Aggressive",0.868
207,"Army chief’s effusive welcome in Washington hints at strategic recalibration amid Middle East turmoil After years in the diplomatic deep freeze, US-Pakistan ties appear to be quickly thawing, with Donald Trump’s effusive welcome for Pakistan’s army chief, Field Marshal Asim Munir, signalling a possible major reset. Once snubbed so badly that former prime minister Imran Khan had to board an ordinary airport shuttle after arriving in the US rather than being whisked off in a limousine, Pakistan is now enjoying top-level access in Washington, including a White House lunch for Munir on Wednesday and meetings with top national security officials. Continue reading...",Passive-Aggressive,"Passive-Aggressive, Criticism",0.62
208,"There are fears the crackdown against ‘outsiders’ is driving widespread persecution as expelled Indians are returned by Bangladesh border guards The Indian government has been accused of illegally deporting Indian Muslims to Bangladesh, prompting fears of an escalating campaign of persecution. Thousands of people, largely Muslims suspected of being illegal immigrants from Bangladesh, have been rounded up by police across India in recent weeks, according to human rights groups, with many of them deprived of due legal process and sent over the border to neighbouring Muslim-majority Bangladesh. Continue reading...",Criticism,"Criticism, Passive-Aggressive, Sarcastic, Offensive",0.698
209,"Aviation journalist Jeff Wise on the crash of flight AI171, in which at least 270 people died, and how one passenger in seat 11A managed to survive Air India flight AI171 took off from Ahmedabad airport on the afternoon of 12 June with 242 people on board. Less than a minute later, it had crashed into a medical college about 1km away. Including those on the ground, at least 270 people were killed. But one passenger miraculously survived. Vishwash Kumar Ramesh, a British national sat in seat 11A, was able to walk away from the scene – though, as he found out soon after, his brother had died on board. Continue reading...",Passive-Aggressive,"Passive-Aggressive, Criticism, Sarcastic",0.97
210,"The Palestinian activist described a bittersweet feeling as he emerged from Ice detention into the Louisiana sun Mahmoud Khalil squinted in the afternoon sun as he walked away from the fences topped with razor wire , through two tall gates and out into the thick humidity of central Louisiana. After more than three months detained in this remote and notorious immigration detention center in the small town of Jena, he described a bittersweet feeling of release, walking towards a handful of journalists with a raised fist, visibly relieved, but composed and softly spoken. Continue reading...",Criticism,"Criticism, Passive-Aggressive, Sarcastic",0.801
211,The Trump administration is slashing jobs at Voice of America's parent agency by 85%. Journalists who have risked their freedom to report for the broadcaster wonder what happens next.,Criticism,"Criticism, Offensive, Passive-Aggressive",0.762
212,"Category 3 storm causes power cuts, some damage and floods, with forecasters predicting it will dissipate by Friday.",Criticism,Criticism,0.996
213,"As the Ukraine war rages, thousands of women search for missing relatives. They told DW about their hopes and sorrows.",Passive-Aggressive,,0.891
214,"Russia's war against Ukraine has provided NATO with a new sense of purpose and strategic relevance. DW explains the purpose of the transatlantic security alliance and Article 5, the collective defense clause.",Passive-Aggressive,,0.784
215,"Founded after the Holocaust, the Leo Baeck Institute marks 70 years of preserving the heritage of German-speaking Jews.",Criticism,,0.781
216,A Dutch children's book meant to celebrate Amsterdam's diversity has ignited outrage from the Netherlands' Chinese community.,Offensive,"Offensive, Criticism, Passive-Aggressive",0.601
217,It is the latest cancer to affect young people more now than in decades. Researchers trying to explain the rise in cases are zoning in on environmental factors.,Sarcastic,,0.767
218,"From the St. John to St. Matthew Passion, contemporary arrangements of Bach masterpieces at the Leipzig Bach Festival highlight oppression and conflict.",Offensive,Offensive,0.993
219,"Although record numbers of people – over 122 million worldwide – have been uprooted due to war, violence and persecution, their ability to find safety and support is threatened more than ever.",Criticism,Criticism,0.955
220,"Death and suffering in Gaza are ever-present and the enclave's people now have little choice but to risk their lives to fetch aid supplies, UN agencies said on Friday.",Criticism,"Criticism, Passive-Aggressive",0.965
221,"Of the 122 million people globally displaced by persecution, violence or human rights violations, 42.7 million are refugees who have fled across borders, according to new data from the UN refugee agency (UNHCR).",Criticism,Criticism,0.907
222,"Just days before Israel launched a bombing campaign against Iran, the UN watchdog agency monitoring Iran’s nuclear activities warned that the country was in violation of its non-proliferation commitments.",Offensive,"Offensive, Criticism",0.978
223,"Hate speech is a warning sign and a driver of violence, UN Secretary-General António Guterres said ahead of Wednesday’s International Day for Countering Hate Speech.",Offensive,Offensive,0.997
224,"Ayatollah Ali Khamenei has not only picked replacements in his chain of military command in case they are killed in Israeli strikes, he has also named three senior clerics to replace him should he, too, be slain.",Criticism,Criticism,0.861
225,"Rishabh Pant's audacious century at Headingley marked a significant turnaround, silencing past criticism from Sunil Gavaskar. Pant's measured approach, combining patience with aggressive strokes, allowed him to dominate the tiring bowlers. His partnership with Shubman Gill put India in a commanding position, transforming critique into admiration.",Criticism,Criticism,0.743
226,"Delhi experienced a welcome change in weather as rain showers swept through various areas. RK Puram, Dhaula Kuan, and Delhi Cantt saw significant downpours. The India Meteorological Department has issued a yellow alert, forecasting rainfall from Friday to Monday. The monsoon is approaching the National Capital Region, with an expected arrival by June 24.",Passive-Aggressive,Passive-Aggressive,0.733
227,"In a bizarre oversight, the health department in Sundargarh district promoted Dr. Smruti Ranjan Samal, a block public health officer who passed away in April, to additional public health officer (TB). The order, issued amidst a cholera outbreak, also transferred the deceased doctor to the district headquarters hospital. Officials attribute the error to a communication lapse regarding Samal's death.",Sarcastic,"Sarcastic, Criticism, Offensive, Passive-Aggressive",0.77
228,"Irfan Shaikh, a 22-year-old Air India crew member who perished in the Ahmedabad plane crash last week, was laid to rest in Pimpri Chinchwad on Saturday. His remains were identified through DNA matching. The London-bound AI 171 crashed shortly after takeoff, killing all 241 on board and 29 on the ground.",Criticism,"Criticism, Passive-Aggressive",0.889
229,"Shubman Gill's unbeaten century, complemented by Yashasvi Jaiswal's ton, propelled India to a dominant position on Day 1 of the opening Test against England at Headingley. India finished at 359 for 3 after being put into bat, with Rishabh Pant adding late fireworks. Stuart Broad criticized England's bowling tactics, suggesting adjustments to their field settings and lengths.",Criticism,"Criticism, Passive-Aggressive, Sarcastic",0.653
230,"Banarasi sarees, originating from Varanasi, are exquisite silk heirlooms steeped in history and culture, blending Indian traditions with Mughal artistry. These sarees, known for intricate craftsmanship and luxurious fabrics like silk and zari, feature diverse styles and motifs, holding cultural significance and social status. Despite challenges from machine-made imitations, initiatives promote sustainability to preserve this timeless craft.",Passive-Aggressive,,0.506
231,"The fight between two well-armed regional powers has their neighbors worried about the conflict spreading, a concern worsened by the prospect of U.S. involvement.",Offensive,,0.998
232,"The French will be partying through the heatwave today for the 2025 edition of the 'Fête de la Musique.' This local celebration of music takes place every year on June 21st since 1982, and is progressively expanding to other countries. Analysis by Aaron Friedman, executive director of the Make Music Alliance in Neaw York, USA.",Passive-Aggressive,,0.616
233,"On Friday, Italy's Prime Minister presented her ""Mattei Plan"" at a conference co-chaired by European Commission President Ursula Von der Leyen. Giorgia Meloni aims at limiting emigration from Africa by supporting the continent's economic development. But civil society groups believe that these ambitions are unrealistic and mostly based on promises. Story by Clemence Waller and analysis by Giovanni Merco Carbone, head of the Africa Programme at the Italian Institute for International Political Studies.",Criticism,,0.552
234,"Israel-Iran War: ""People are sitting on the floor."" FRANCE 24 paid a visit to the Dizengoff shopping centre in Tel Aviv, where the parking lot has been converted into an underground bomb shelter",Sarcastic,"Sarcastic, Criticism",0.973
235,"Pakistan’s Olympic gold medalist Arshad Nadeem speaks to Geo News during a training session at Lahore on June 18, 2025. — ReporterLAHORE: Pakistan’s Olympic gold medallist and javelin sensation Arshad Nadeem said on Wednesday that his sights are now set on the upcoming World...",Passive-Aggressive,"Passive-Aggressive, Criticism, Sarcastic",0.617
236,"Babar Azam with Gary Kirsten during a training session in 2024. - AFPKARACHI: Former Pakistan white-ball head coach Gary Kirsten has broken his silence about his early exit from the national team, attributing his resignation to a lack of authority and interference from external sources.Speaking...",Criticism,"Criticism, Passive-Aggressive, Sarcastic",0.542
237,"South Africa's Aiden Markram lifts the ICC Test Championship Mace on the podium with teammates after winning the ICC World Test Championship Final against Australia at Lord's Cricket Ground, London, Britain, June 14, 2025. — Reuters Aiden Markram's magnificent century was the...",Passive-Aggressive,,0.851
238,"Investigators are hoping to find clues as to why the Bayesian superyacht sank off the coast of Sicily 10 months ago, killing seven people.",Passive-Aggressive,Passive-Aggressive,0.899
239,"Shaheen Shah Afridi, Mohammad Rizwan, Haris Rauf and Shadab Khan. — Facebook/@BBL/FileKARACHI: Four of Pakistan's prominent cricket players, Shadab Khan, Haris Rauf, Mohammad Rizwan and Shaheen Afridi, have completed their registration for the Big Bash League draft.Pakistan Women's team...",Passive-Aggressive,,0.602
240,"Portugal's Cristiano Ronaldo lifts the trophy as he celebrates with teammates after winning the Nations League final against Spain on June 8, 2025. — ReutersMUNICH: Cristiano Ronaldo was overcome with emotion as Portugal won the Nations League final against Spain on Sunday. The match...",Passive-Aggressive,"Passive-Aggressive, Criticism",0.4
241,The world is waiting to find out if US President Donald Trump will authorise American strikes on Iran’s nuclear sites. Look back at the day’s events.,Criticism,Criticism,0.91
242,"While the US president appears to be offering one more off-ramp to the Iranians, he’s also bolstering his own military options.",Criticism,"Criticism, Passive-Aggressive",0.858
243,"The Castle Bravo bomb was detonated in 1954 at Bikini Atoll, just 140 kilometres from Rongelap Atoll, a classic Pacific paradise with an enormous lagoon.",Offensive,Offensive,0.986
244,"Click to expand Image Disability rights activists march in London against social security cuts as the UK’s Chancellor Rachel Reeves presents her “Spring Statement” or mini-budget, March 26, 2025. © 2025 Vuk Valcic/ZUMA Press Wire/Shutterstock The United Kingdom government has just published draft legislation seeking to “reform” key disability-related aspects of its complex social security system. While the government claims its moves “will protect the most vulnerable,” in reality its plans to cut £4.5 billion in disability-linked benefits by 2030 will have a devastating impact on people’s rights. The bill proposes freezing, until 2030, the amount of additional health-related support for people with qualifying health conditions or disabilities as part of their Universal Credit payments, the UK’s main social security program. New claimants will only receive half the health-related amount (although the standard component of Universal Credit payments, that all recipients get, will go up). The bill also seeks to freeze rates of an older benefit that supports people who have limited capability for work because of qualifying health conditions or disability. The bill would also raise eligibility barriers for the daily care component of the Personal Independence Payment (PIP), a key disability-linked benefit. The current qualifying test for PIP—already considered inhumane and degrading because of how it quantifies people’s ability to perform daily tasks like dressing, using the toilet, bathing, and preparing food—will be further tightened if this bill becomes law. The government’s own analysis shows that up to 800,000 people will no longer be eligible to receive PIP and that the changes could lead to 200,000 more people (50,000 of them children) in poverty by 2030. Organizations working on social security and disability rights, including Citizens Advice, the Disability Charities Consortium, and the Joseph Rowntree Foundation, have warned of the poverty the cuts will create. Last month, the chair of the UK Parliament’s Work and Pensions Committee wrote to the government asking it to delay these plans, given the risk of poverty. Earlier this week, the All Party Parliamentary Group on Poverty and Inequality published a report recommending the government abandon the proposals. The government is proceeding anyway. The government says it will protect those it considers to have the highest support needs, or nearing the end of their life, ensuring they do not lose their PIP eligibility and continue to receive the full health-related element of Universal Credit. But that is cold comfort to hundreds of thousands people with disabilities anxious about the impact of losing thousands of pounds a year. Parliamentarians should reject the planned legislation, and be clear that budget savings, however desirable, should not come at the cost of the rights—in particular the right to social security—of people with disabilities. Human dignity must come first.",Offensive,"Offensive, Criticism, Sarcastic, Passive-Aggressive",0.627
245,"Click to expand Image A villager who had volunteered to fetch gunny bags containing food rations from the site of an air drop takes a break at a village in Ayod county, South Sudan, February 6, 2020. © 2020 Tony Karumba/AFP via Getty Images South Sudan is once again on the brink of full-scale humanitarian catastrophe, propelled by conflict, attacks on civilians and humanitarian infrastructure, and political turmoil. According to the latest Integrated Food Security Phase Classification (IPC) report, more than half the population, 7.7 million people, are facing acute food insecurity, and at least 83,000 people are facing catastrophic conditions (IPC Phase 5). IPC 5, the most severe classification, is associated with “an extreme lack of food” where “starvation, death, destitution and extremely critical acute malnutrition levels are evident.” In Upper Nile State, particularly Nasir and Ulang, the number of people facing catastrophic levels of food insecurity are so numerous and the restrictions on aid access so severe that these areas have been identified as at risk of Famine. Months of conflict, including government use of incendiary bombs has killed and injured hundreds, and forced tens of thousands more to flee. Hostilities have destroyed civilian infrastructure and livelihoods, while the government’s failure to facilitate humanitarian access has meant aid agencies have struggled to support an increasingly vulnerable civilian population. A hospital in Ulang, run by the medical charity Médecins Sans Frontières (MSF), was looted by gunmen and eventually forced to close. This is not just a humanitarian catastrophe: it is a human rights crisis. If parties are using starvation as a method of warfare, whether through deliberate action or criminal neglect, it is a war crime: one the UN has previously found to have been committed in South Sudan. It can trigger UN Security Council accountability mechanisms. According to media reports, recent government aid drops on Nasir and Ulang were supported by a US based private firm in conjunction with a Ugandan aviation company that also supports the government’s military action. Delivery of aid is to be based solely upon need, nonpartisan and impartial. The use of companies with ties to the South Sudanese government raises concerns that these drops did not comply with this core humanitarian principle. In neighboring Fangak, Jonglei state, to the east, fighting including government bombardment, has destroyed healthcare facilities and markets, bringing communities to the brink of a health and food emergency, according to aid group REACH. As needs rise, donor funding is shrinking. Foreign aid cuts have had a devastating impact on South Sudan and are undoubtedly exacerbating an already overwhelming humanitarian situation. Save the Children, a leading humanitarian organization, recently announced that USAID cuts had forced it to close seven health clinics in Jonglei state. The international community should act now. South Sudan’s donors and regional partners should fully fund the humanitarian response plan, demand safe, unrestricted access for aid groups, and pressure armed actors to end attacks on civilians and infrastructure. They should also sanction those who deliberately obstruct aid. Famine can be averted. But without immediate and decisive political and humanitarian intervention, it risks becoming a reality for tens of thousands of people who are already enduring unimaginable suffering.",Offensive,"Offensive, Criticism, Sarcastic, Passive-Aggressive",0.841
246,Shockwaves from the attack in Israel’s third-largest city damaged a mosque and a church.,Offensive,"Offensive, Criticism",0.994
247,"Click to expand Image A man stands in front of a damaged and burnt house following a deadly gunmen attack in Yelwata, Benue State, Nigeria, June 16, 2025. © 2025 Marvellous Durowaiye/Reuters (Abuja) – Nigerian authorities should urgently strengthen security in vulnerable communities following deadly attacks on June 14, 2025, in Yelewata, Benue state, Human Rights Watch said today. This should include steps to ensure collaboration with members of affected communities to establish an effective rapid security response system to prevent further violence and protect lives at risk. On the night of June 14, unidentified armed assailants suspected to be tied to herder communities brutally attacked Yelewata community in Benue state, killing 59 people, according to the state governor. However, media reports citing detailed lists of victims put the death toll at over 100. “This brutal attack is the latest reminder of how badly the government has failed to protect communities from violence and secure accountability,” said Anietie Ewang, Nigeria researcher at Human Rights Watch. “The authorities should move quickly and effectively to investigate this attack.” Human Rights Watch interviewed three people, including one journalist who visited Yelewata in the aftermath of the attack. Benue is among Nigeria’s North Central states plagued by recurring intercommunal violence, largely driven by longstanding tensions between nomadic herders and mostly sedentary farming communities over access to and control of land, water, and other natural resources. In May, 42 people were killed in a series of attacks across Benue state, according to media reports. In April, 56 were reportedly killed by herders during the Easter period. Despite these alarming figures, there is little evidence of meaningful efforts toward justice. Nobody has been arrested or prosecuted for these attacks. In a 2013 report, “‘Leave Everything to God’: Accountability for Inter-Communal Violence in Plateau and Kaduna States, Nigeria,” Human Rights Watch analyzed the decades-long cycles of violence in two North Central states, Kaduna and Plateau, which persisted largely due to the government’s failure to hold attackers accountable. More than a decade later, the continued bloodshed—most recently the attack in Yelewata—underscores the urgent need to end this pattern of impunity. Reverend Father Yugh, a priest and archivist at the Catholic Diocese of Makurdi, the capital of Benue state, told Human Rights Watch that he has tracked violence in the state for many years and that security forces consistently fail to respond effectively, leaving the situation dire. Based on media reports, attackers arrived in Yelewata just before midnight, armed with sophisticated weapons, and laid siege to the community for over two hours with little or no resistance from security forces. The authorities, however, claim that police officers, tactical teams, and reinforcements responded swiftly and killed some of attackers. A 34-year-old man, Godwin Amatembe, said his sister and three of her children were killed when the assailants set fire to their one-room home using petrol. Amatembe’s nephew who escaped the attack told him that the family was asleep, and when they tried to escape the blaze, the assailants fired on them. The nephew managed to flee despite being shot in the back, but the attackers dragged his wounded mother back into the house, where she burned to death with the three other children. “I am weak, I am broken, and my heart is bleeding,” Amatembe said. “How could my sister and her innocent children, who were just struggling to survive, be wiped out in such a brutal way?” Based on media reports, some of the people killed in the attack were internally displaced people who had fled to Yelewata from their communities due to insecurity, only to be brutally killed in the very place they had hoped would offer them safety. The Yelewata attack sparked protests in Benue state on June 15, with calls for an end to the killings and for justice and accountability. The authorities dispersed the protests, which they claimed had been hijacked by violent instigators. The military and police authorities have announced a joint operation to pursue those responsible for the killings. As President Bola Tinubu engages with affected communities and stakeholders during his announced visit on June 18, he should prioritize regular consultations with local communities to establish a rapid security response system to detect and deter impending attacks and prevent further bloodshed. Without swift and coordinated action, the human toll of the seemingly endless cycles of violence will continue unabated. “The way forward should begin with coordination of state policing and intelligence operations, as well as community-driven security initiatives that can respond rapidly to threats,” Ewang said. “But protection alone is not enough. There must also be justice for the victims of these attacks and accountability for the perpetrators of massacres.”",Sarcastic,"Sarcastic, Criticism, Offensive, Neutral, Passive-Aggressive",0.893
248,"Click to expand Image Saudi human rights activists gather outside the Criminal Court of Riyadh following a hearing in the trial of fellow activists Abdullah al-Hamid and Mohammed al-Qahtani. Sulaiman al-Rashoodi (second from right), Mohammed al-Qahtani (third from right), Waleed Abu al-Khair (center, fourth from right) and Abdullah al-Hamid (fifth from right) © 2013 Private (Beirut) – Saudi Arabia should end the mistreatment of older prisoners and ensure their access to adequate medical care, SANAD Organization for Human Rights and Human Rights Watch said today. Saudi authorities denied the United Nations Independent Expert on the enjoyment of all human rights by older persons access to older prisoners, including two she had asked to see, during her April visit even though the government had invited her to visit the country. Qasim al-Qathrdi, a 70-year-old Saudi academic and preacher, died in prison on April 29, 2025, during the visit, said SANAD, a Saudi organization. The group said he was arrested in 2021 and sentenced to eight years in prison followed by an eight-year travel ban on vague charges related to “disrupting public order.” “Dr. al-Qathrdi’s death, the result of apparent deliberate medical neglect and the denial of release on bail despite his deteriorating health, is not an isolated incident,” said Samer Alshumrani, SANAD operations manager. “We are sounding the alarm over the danger facing older prisoners and we call on the Saudi authorities to immediately release all those arbitrarily detained and provide urgent and adequate medical care to all prisoners.” The Saudi government invited the UN expert to visit the country from April 20 to 30, the UN said. During her visit to Saudi’s notorious al-Ha’ir prison, she requested access to clerics and the human rights defenders Safar Al-Hawali, 75, and Salman Al-Ouda, 69. Prison authorities rejected her request. Refusing access “violates the terms of reference for country visits” by UN experts, she said. She urged the Saudi government to allow prisoners access to their families and to independent monitors. Prison authorities did not provide information on the number of older people in maximum-security wards but said that there are no older women prisoners, the UN expert said. Separately, she expressed concern about the lack of remuneration for prisoners who work in al-Ha’ir and receive benefits like family visits in exchange for work. Prisoners have a right to family visits and the Saudi government should not use it as incentive, SANAD and Human Rights Watch said. Rights organizations have long documented abysmal detention conditions in Saudi prisons, including ill-treatment and medical neglect. Older prisoners are particularly at risk as many cannot readily climb stairs, walk long distances to meals, or get dressed or use the bathroom without support. Other older prominent thinkers, academics, and human rights defenders have also died in Saudi prisons, including Abdullah al-Hamid, 69, professor, political reformist, and cofounder of the Saudi Civil and Political Rights Association (ACPRA) who died on April 24, 2020; Musa al-Qarni, 67, political reformist who died on October 12, 2021; and Ahmed al-Amari, 69, cleric and former dean of the Quran Faculty in the Islamic University of Medina who died on January 20, 2019. Other older clerics, human rights defenders, and academics who remain arbitrarily detained on charges based solely on peaceful activism include Safar Al-Hawali,75; Abdullah Al-Yahya, 73; Ibrahim Al-Nasser, 71; Salman Al-Ouda, 69; Zuhair Kutbi, 69; Awad Al-Qarni, 68; Mohammed Dulaim Al-Qahtani, 67; and Aida Al-Ghamdi, 67. “Saudi Arabia should demonstrate genuine commitment to human rights ahead of hosting World Expo 2030 and the 2034 FIFA World Cup by immediately and unconditionally releasing all arbitrarily held human rights defenders, starting with older people whose health has deteriorated and are in need of urgent medical attention,” said Joey Shea, Saudi Arabia researcher at Human Rights Watch.",Sarcastic,"Sarcastic, Criticism, Offensive, Passive-Aggressive, Neutral",0.672
